Јагодина	46879	34065	47037	34138	47616	34765	50306	36647	48295	35076	49142	35726	49744	36139	48011	34906	49975	36459	49350	36060	49369	36213	50133	36660
Свилајнац	46406	33729	51127	37158	50077	36402	52269	38040	51760	37560	51439	37218	50052	36397	47693	34651	50245	36574	49707	36190	50368	36691	49802	35863
Ћуприја	41913	30395	51621	37443	51075	37021	52394	38160	52498	38110	53030	38435	51660	37468	51341	37246	52310	37929	51364	37281	52067	37416	53248	38582
Расинска област	49260	36092	52099	38199	51331	37573	53526	39194	51076	37402	53454	39063	51250	37506	51636	37795	52793	38609	51916	37989	51816	37979	55952	40889
Александровац	43390	31636	46426	33750	46684	33950	48949	35733	43753	31791	48588	35328	47418	34594	47635	34677	48198	35085	47374	34546	46995	34187	51289	37363
Брус	43614	31732	46706	33917	45867	33308	45966	33343	44917	32656	46696	33913	45237	32870	46341	33645	46058	33463	43992	32002	44752	32540	46322	33648
Варварин	43767	31723	47906	34767	47964	34820	49067	35605	48327	35080	49270	35735	48307	35056	47596	34542	47800	34679	47066	34166	47368	34382	48378	35094
Крушевац	52770	38720	55721	40966	54607	40141	56946	41824	54533	40040	56731	41544	54043	39643	54822	40238	56173	41178	55419	40619	55206	40532	60428	44220
Трстеник	47439	34398	49332	35793	48813	35421	52090	37727	50436	36570	52057	37657	50301	36469	49308	35781	51111	37049	50339	36504	50243	36613	52854	38298
Ћићевац	35212	28018	38587	30417	38515	28477	37954	29191	36735	28750	39002	30451	36387	28011	37649	28873	38324	29431	36931	28757	37701	29432	38283	29764
Рашка област	47731	34750	51000	36998	52503	38164	53077	38600	50504	36550	53165	38510	51935	37691	52163	37865	52155	37848	51588	37496	52472	38185	57256	41291
Врњачка Бања	37978	27841	46313	33502	47611	35453	47027	35056	46852	33613	48429	35319	47429	35383	48696	35776	49191	36457	47814	35608	48348	36301	55551	41086
Краљево	49112	35815	54514	39738	56793	41178	57441	41689	53420	38882	56772	41213	55509	40408	55375	40312	55673	40363	54941	39935	56109	40747	61740	44758
Нови Пазар	50863	36943	49018	35329	49429	35832	50066	36311	48072	34525	50386	36270	49102	35143	51586	37128	47627	34373	50128	36166	49822	36078	52401	36974
Рашка	45875	33331	48170	34979	49689	36107	51244	37199	49808	36205	51816	37622	50446	36643	45790	33297	53727	39011	46719	33970	47785	34718	55236	40141
Тутин	42285	30579	48350	34908	50429	36458	50365	36390	49179	35542	51675	37350	50840	36743	49721	36002	51550	37267	50175	36297	55424	39994	55919	40394
Шумадијска област	51656	37513	57445	41742	57742	41919	59117	42971	58834	42542	59470	43121	58878	42574	59445	42974	58350	42172	56499	40861	57195	41367	64797	47012
Аранђеловац	42205	30547	52407	38027	60141	43624	63761	47253	56850	41288	62126	45561	55226	40060	57509	41675	58806	42624	55965	40591	57109	41396	68008	49658
Баточина	41634	30570	42283	31045	41665	30615	43304	31779	41850	30665	49539	36545	42920	31374	41699	30231	43829	32080	42787	31454	44217	32408	46252	33996
Кнић	51810	37695	51092	37166	51834	37804	54250	39852	51844	37795	57363	41984	52754	38522	49937	36262	51628	37506	51623	37610	52042	37805	56404	41319
Крагујевац	55153	40036	61168	44451	60082	43545	61128	44238	62232	44867	61211	44215	61814	44611	63114	45554	60784	43842	58874	42481	59486	42926	68107	49293
Рача	47008	34053	46318	33632	44676	33161	44891	31936	44317	32244	48182	34978	58927	42638	46553	34073	47482	34438	44525	32371	46049	33447	45996	33402
Топола	47609	34941	49949	36222	49551	35940	49320	35769	49295	35756	49979	36238	49900	36189	49887	36149	50949	36908	51171	37089	51546	37322	51687	37429
Лапово	49642	36026	54060	39203	52385	38202	53056	38726	57144	42010	54207	39277	53858	39210	53197	38597	54352	39582	54197	39462	53436	39270	55153	40286
Регион Јужне и Источне Србије	50959	36783	57120	41231	55930	40464	59001	42612	56822	41105	59533	42931	58268	41985	56372	40734	58350	42093	56756	41011	57536	41543	61432	44344
Борска област	60961	43789	66483	47780	64910	46686	66230	47596	66333	47680	66385	47715	65841	47349	66135	47544	67470	48482	64613	46525	65877	47377	67969	48876
Бор	65501	46972	70931	50844	68547	49201	70636	50657	69994	50209	72263	51733	69996	50189	69072	49533	71718	51414	67960	48835	70105	50265	70848	50806
Кладово	53288	38461	58294	42039	60569	43679	60830	43857	59472	42987	54925	39822	59007	42580	61374	44265	61617	44394	59082	42663	59456	42902	66936	48326
Мајданпек	64710	46319	70659	50797	64995	46800	67724	48550	68406	49021	69556	49991	66990	48168	69083	49660	70007	50321	66493	47855	67980	48906	68401	49140
Неготин	54387	39204	60708	43802	60406	43531	59880	43235	63150	45503	61988	44693	62166	44925	61575	44419	61140	44099	60770	43899	60684	43861	61257	44222
Браничевска област	56963	41151	65112	46933	64131	46242	65980	47707	64078	46373	64276	46274	63741	46012	62481	45056	64087	46188	62719	45250	63396	45709	65186	47007
Велико Градиште	45896	33358	46208	33673	45371	33023	46403	33746	45872	33393	47370	34428	48880	35608	45080	32783	47145	34263	46867	34086	47194	34317	49056	35643
Голубац	44123	32496	44944	33197	44184	32682	45810	33732	46158	34262	45263	33393	47111	34749	44987	33302	45912	33827	44123	32686	46819	34497	49276	36471
Жабари	38942	28487	38226	28319	38555	28178	39630	28907	38022	27805	39159	29026	38671	28716	38505	28131	38682	28295	38676	28368	37948	27774	39494	28886
Жагубица	52335	37918	52538	38064	51254	37150	54811	39647	52274	37804	54262	39268	50244	36400	53105	38464	57187	41371	51070	37020	52246	37843	53505	38727
Кучево	45107	33726	47990	35236	47385	34824	49980	36648	46134	33935	52376	37477	48008	35249	47233	34492	47872	35144	47225	34676	47997	35181	49244	36074
Мало Црниће	30320	22147	38871	28444	37855	27713	44973	32666	32400	23605	39750	28998	39304	28851	38736	28375	40244	29428	39387	28828	39477	28909	45424	33147
